Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Not motivated,Positive outlook,Emotionally stable,Quick to anger,Enthusiastic,Challenging but good,Positive outlook,No energy at all,Loses focus,Indifferent,Enthusiastic,Loses focus,Easily distracted,No energy at all,Rarely feel tired,Indifferent,Challenging but good,Patient,No energy at all,Loses focus,At Risk
Sharp memory,Refreshed,Clear-minded,Easily distracted,Not motivated,Sharp memory,Refreshed,Challenging but good,Clear-minded,Positive outlook,Refreshed,Easily distracted,Indifferent,Not motivated,Drained,Rarely feel tired,Emotionally stable,Ready to go,Refreshed,Challenging but good,Normal
Easily distracted,Self-aware,Always distracted,Drained,Quick to anger,Drained,Easily distracted,Indifferent,Low mood,Easily distracted,Focused,Quick to anger,Drained,Few mistakes,Indifferent,Drained,Indifferent,Rarely feel tired,Challenging but good,Not motivated,At Risk
Positive outlook,Mostly engaged,Emotionally stable,Patient,Enthusiastic,Good stamina,Good focus,Ready to go,Self-aware,Clear-minded,Invested,Good stamina,Positive outlook,Refreshed,Positive outlook,Clear-minded,Ready to go,Enthusiastic,I recharge through entertainment,Few mistakes,Normal
Not motivated,I recharge through entertainment,Easily distracted,Positive outlook,Refreshed,Clear-minded,Indifferent,Self-aware,Focused,Self-aware,Refreshed,No energy at all,Self-aware,Patient,Always distracted,Refreshed,Always distracted,I recharge through entertainment,Quick to anger,I recharge through entertainment,Normal
Indifferent,Refreshed,Enthusiastic,Rarely feel tired,Drained,Emotionally stable,Not motivated,No energy at all,No energy at all,I recharge through entertainment,Forgetful,Not motivated,Forgetful,Always distracted,Enthusiastic,Foggy mind,Loses focus,Emotionally stable,Easily distracted,Low mood,At Risk
Low mood,Mostly engaged,Ready to go,Forgetful,Good focus,Loses focus,Enthusiastic,Forgetful,Good stamina,Good focus,Sharp memory,Mostly engaged,In good physical condition,Forgetful,Drained,Ready to go,Enthusiastic,Quick to anger,Easily distracted,I recharge through entertainment,Needs Monitoring
Drained,Drained,Forgetful,Few mistakes,Patient,Rarely feel tired,Drained,Easily distracted,Forgetful,Easily distracted,Challenging but good,Refreshed,Quick to anger,Forgetful,Rarely feel tired,Focused,Not motivated,Good focus,Focused,Drained,At Risk
Self-aware,Sharp memory,Easily distracted,Patient,Few mistakes,Few mistakes,Loses focus,Quick to anger,Enthusiastic,Enthusiastic,Invested,Refreshed,Challenging but good,Enthusiastic,Self-aware,Few mistakes,Few mistakes,Sharp memory,Focused,Self-aware,Normal
Sharp memory,Not motivated,Challenging but good,Self-aware,Invested,Forgetful,Rarely feel tired,Self-aware,Invested,Quick to anger,Patient,Forgetful,Ready to go,Low mood,Clear-minded,In good physical condition,Ready to go,Invested,Invested,Not motivated,Normal
Invested,Low mood,Sharp memory,Few mistakes,Mostly engaged,Indifferent,Mostly engaged,Challenging but good,No energy at all,Loses focus,Refreshed,Focused,Positive outlook,Sharp memory,Focused,Self-aware,Focused,No energy at all,I recharge through entertainment,Few mistakes,Normal
Mostly engaged,Emotionally stable,I recharge through entertainment,Easily distracted,Mostly engaged,Ready to go,Always distracted,Challenging but good,I recharge through entertainment,Loses focus,Challenging but good,Forgetful,Foggy mind,Challenging but good,Sharp memory,Mostly engaged,Foggy mind,Sharp memory,I recharge through entertainment,No energy at all,Normal
Easily distracted,Not motivated,Loses focus,Rarely feel tired,Low mood,Always distracted,Positive outlook,Foggy mind,Low mood,Challenging but good,Loses focus,Positive outlook,Forgetful,Loses focus,Forgetful,Self-aware,Self-aware,Loses focus,Refreshed,Always distracted,At Risk
Foggy mind,Foggy mind,Easily distracted,No energy at all,Indifferent,Foggy mind,Focused,Not motivated,Not motivated,Indifferent,Loses focus,No energy at all,Forgetful,Foggy mind,Rarely feel tired,Forgetful,Few mistakes,Focused,Not motivated,Not motivated,At Risk
Few mistakes,Sharp memory,Few mistakes,Sharp memory,Focused,In good physical condition,Challenging but good,Refreshed,Few mistakes,Good focus,Clear-minded,Few mistakes,Good focus,Challenging but good,Rarely feel tired,Focused,Good focus,Sharp memory,Challenging but good,Few mistakes,Normal
Challenging but good,Low mood,Enthusiastic,Patient,Refreshed,Positive outlook,Mostly engaged,Good stamina,Good focus,Good focus,In good physical condition,Patient,Easily distracted,Drained,No energy at all,Not motivated,Always distracted,Few mistakes,Emotionally stable,Quick to anger,Normal
Indifferent,Loses focus,Not motivated,Drained,Low mood,Easily distracted,Self-aware,Foggy mind,Easily distracted,Foggy mind,Focused,Low mood,Drained,Easily distracted,No energy at all,Low mood,Always distracted,Clear-minded,Patient,Easily distracted,At Risk
Invested,Good stamina,Challenging but good,Refreshed,I recharge through entertainment,Invested,Patient,In good physical condition,Clear-minded,In good physical condition,Clear-minded,Emotionally stable,Challenging but good,Clear-minded,Good stamina,Invested,Emotionally stable,Positive outlook,Positive outlook,Good focus,Normal
Ready to go,Enthusiastic,In good physical condition,Invested,Sharp memory,Self-aware,Positive outlook,Few mistakes,Mostly engaged,Patient,Mostly engaged,I recharge through entertainment,Good stamina,Challenging but good,Ready to go,Positive outlook,Refreshed,Patient,Focused,Positive outlook,Normal
