Answer,Label
Mentally drained,Negative
Exhausted,Negative
Overwhelmed,Negative
Always a struggle,Negative
Too much effort,Negative
Overwhelming,Negative
Never rested,Negative
Constantly tired,Negative
Drained,Negative
Heavy body,Negative
Worn out,Negative
Drained quickly,Negative
No motivation,Negative
Dreading it,Negative
Low energy,Negative
Lost drive,Negative
Can’t keep up,Negative
Lacking energy,Negative
Easily fatigued,Negative
No stamina,Negative
Emotionally strained,Negative
Burned out,Negative
Unmotivated,Negative
No passion,Negative
Disengaged,Negative
Detached,Negative
Uncaring,Negative
Apathetic,Negative
Cynical,Negative
Doesn’t matter,Negative
Unimportant,Negative
Distracted,Negative
Unfocused,Negative
Easily sidetracked,Negative
Foggy mind,Negative
Confused,Negative
Unclear,Negative
Forgetful,Negative
Lose focus,Negative
Easily distracted,Negative
Frequent errors,Negative
Not focused,Negative
Emotional outbursts,Negative
Irritable,Negative
Unstable,Negative
Not myself,Negative
Changed,Negative
Easily frustrated,Negative
Quick-tempered,Negative
Unexplained sadness,Negative
Emotional,Negative
Low mood,Negative
Sometimes tired,Positive
Manageable,Positive
Not too bad,Positive
Worth it,Positive
Challenging but fine,Positive
Mostly manageable,Positive
Rechargeable,Positive
Easily recovered,Positive
Mostly rested,Positive
Physically fine,Positive
Manageable fatigue,Positive
Occasionally tired,Positive
Energized,Positive
Ready to go,Positive
Generally motivated,Positive
Mostly engaged,Positive
Driven,Positive
Good stamina,Positive
Generally strong,Positive
Refreshed,Positive
Energized,Positive
Enthusiastic,Positive
Motivated,Positive
Passionate,Positive
Invested,Positive
Interested,Positive
Connected,Positive
Positive outlook,Positive
Purposeful,Positive
Meaningful,Positive
Focused,Positive
Attentive,Positive
On task,Positive
Clear-minded,Positive
Alert,Positive
Sharp,Positive
Sharp memory,Positive
Good focus,Positive
Productive,Positive
Few errors,Positive
Emotionally stable,Positive
Calm,Positive
Balanced,Positive
Self-aware,Positive
Patient,Positive
Flexible,Positive
Adaptable,Positive
Emotionally balanced,Positive
Stable,Positive
Positive,Positive
