Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Patient,Mostly engaged,Always distracted,Good focus,Emotionally stable,Self-aware,Rarely feel tired,Mostly engaged,No energy at all,No energy at all,Good stamina,Positive outlook,In good physical condition,Enthusiastic,Refreshed,No energy at all,Low mood,Challenging but good,Low mood,Good stamina,Normal
Mostly engaged,Foggy mind,In good physical condition,Sharp memory,Mostly engaged,In good physical condition,Enthusiastic,Few mistakes,Challenging but good,Invested,Drained,Emotionally stable,Refreshed,Forgetful,Positive outlook,Good stamina,I recharge through entertainment,Mostly engaged,Self-aware,Refreshed,Normal
Few mistakes,Emotionally stable,Good focus,Enthusiastic,Emotionally stable,Patient,Mostly engaged,Always distracted,Rarely feel tired,Sharp memory,Positive outlook,Easily distracted,Emotionally stable,Positive outlook,Challenging but good,Focused,Ready to go,Invested,Invested,Invested,Normal
Good focus,Easily distracted,Invested,Self-aware,Positive outlook,Always distracted,Sharp memory,Patient,Good focus,Refreshed,Refreshed,Easily distracted,Indifferent,Few mistakes,Loses focus,Self-aware,Quick to anger,Ready to go,I recharge through entertainment,Mostly engaged,Normal
Good focus,Emotionally stable,Invested,Self-aware,Self-aware,Good focus,In good physical condition,Good stamina,Good focus,Refreshed,I recharge through entertainment,Invested,Good stamina,Self-aware,Sharp memory,I recharge through entertainment,Indifferent,Self-aware,Invested,Self-aware,Normal
Focused,Challenging but good,Self-aware,Enthusiastic,Enthusiastic,Ready to go,Challenging but good,Mostly engaged,Ready to go,Ready to go,Sharp memory,Forgetful,Patient,Few mistakes,Rarely feel tired,Challenging but good,Mostly engaged,Patient,I recharge through entertainment,Positive outlook,Normal
Enthusiastic,Mostly engaged,Sharp memory,Ready to go,Sharp memory,Clear-minded,Ready to go,Positive outlook,Rarely feel tired,Ready to go,Few mistakes,Invested,Positive outlook,Enthusiastic,Good stamina,In good physical condition,Invested,Patient,Good focus,Easily distracted,Normal
Focused,Good stamina,Sharp memory,In good physical condition,Few mistakes,Mostly engaged,In good physical condition,Enthusiastic,Challenging but good,Invested,Few mistakes,Good stamina,Invested,Sharp memory,I recharge through entertainment,Good stamina,Invested,Emotionally stable,I recharge through entertainment,In good physical condition,Normal
Patient,Enthusiastic,Positive outlook,Good focus,Clear-minded,Mostly engaged,Focused,Challenging but good,Refreshed,Positive outlook,Mostly engaged,Clear-minded,Sharp memory,Refreshed,Good focus,Focused,I recharge through entertainment,I recharge through entertainment,Challenging but good,Sharp memory,Normal
Sharp memory,Drained,In good physical condition,In good physical condition,Foggy mind,Refreshed,Good focus,Challenging but good,I recharge through entertainment,Challenging but good,Always distracted,Invested,Foggy mind,Easily distracted,Positive outlook,No energy at all,Sharp memory,Good focus,Challenging but good,Forgetful,Normal
I recharge through entertainment,Foggy mind,Challenging but good,Clear-minded,In good physical condition,Emotionally stable,Good focus,Enthusiastic,Emotionally stable,Low mood,Focused,Self-aware,Foggy mind,Clear-minded,Forgetful,Sharp memory,Self-aware,In good physical condition,Sharp memory,Mostly engaged,Normal
Good focus,Enthusiastic,Challenging but good,In good physical condition,Sharp memory,Refreshed,Emotionally stable,Ready to go,Foggy mind,Good stamina,Challenging but good,Self-aware,Always distracted,I recharge through entertainment,Good focus,Focused,Good focus,Mostly engaged,Challenging but good,Enthusiastic,Normal
