Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Not motivated,Positive outlook,Few mistakes,Emotionally stable,Focused,No energy at all,Focused,Forgetful,Clear-minded,I recharge through entertainment,Drained,Refreshed,Mostly engaged,Enthusiastic,Foggy mind,Few mistakes,Refreshed,Refreshed,Good stamina,Low mood,Normal
Ready to go,Few mistakes,Sharp memory,Self-aware,No energy at all,Focused,Positive outlook,Mostly engaged,Sharp memory,In good physical condition,Positive outlook,Focused,Focused,Mostly engaged,Positive outlook,Quick to anger,Emotionally stable,Good focus,Challenging but good,Sharp memory,Normal
Patient,Quick to anger,Good focus,Positive outlook,Sharp memory,Loses focus,Enthusiastic,Indifferent,Positive outlook,Invested,Challenging but good,Quick to anger,Forgetful,I recharge through entertainment,Good focus,In good physical condition,Invested,Always distracted,Good stamina,Low mood,Normal
Patient,Challenging but good,No energy at all,Quick to anger,Emotionally stable,Forgetful,Sharp memory,Good stamina,Ready to go,Positive outlook,In good physical condition,Focused,I recharge through entertainment,Refreshed,Ready to go,Enthusiastic,Mostly engaged,Focused,Challenging but good,I recharge through entertainment,Normal
Forgetful,Sharp memory,Emotionally stable,Focused,Ready to go,Emotionally stable,Not motivated,Clear-minded,Few mistakes,Self-aware,Low mood,Patient,Invested,Good stamina,Clear-minded,Positive outlook,Good focus,Invested,Low mood,Good focus,Normal
Good stamina,Good focus,Ready to go,In good physical condition,I recharge through entertainment,No energy at all,Mostly engaged,Enthusiastic,Sharp memory,Refreshed,Self-aware,Forgetful,Enthusiastic,Sharp memory,Emotionally stable,Good stamina,Good focus,Indifferent,Patient,Few mistakes,Normal
In good physical condition,Indifferent,Ready to go,Mostly engaged,Sharp memory,Ready to go,Clear-minded,I recharge through entertainment,Not motivated,Enthusiastic,Good stamina,Good focus,I recharge through entertainment,Refreshed,Refreshed,Ready to go,Enthusiastic,In good physical condition,Refreshed,Enthusiastic,Normal
Challenging but good,In good physical condition,Emotionally stable,Good focus,Enthusiastic,Mostly engaged,Emotionally stable,Clear-minded,Refreshed,Self-aware,Challenging but good,Easily distracted,Clear-minded,Enthusiastic,Clear-minded,In good physical condition,Indifferent,Forgetful,Challenging but good,Clear-minded,Normal
Challenging but good,Indifferent,Refreshed,Indifferent,Good stamina,Clear-minded,In good physical condition,Invested,Quick to anger,Easily distracted,Low mood,Challenging but good,Few mistakes,Good stamina,Positive outlook,Emotionally stable,Foggy mind,Focused,Challenging but good,Foggy mind,Normal
Invested,Refreshed,Challenging but good,Mostly engaged,Not motivated,I recharge through entertainment,Challenging but good,Mostly engaged,Challenging but good,Not motivated,Self-aware,Positive outlook,Low mood,Refreshed,Refreshed,In good physical condition,Few mistakes,Good stamina,Patient,Indifferent,Normal
Focused,Low mood,Self-aware,Quick to anger,Forgetful,Ready to go,Foggy mind,Good stamina,Self-aware,Focused,Invested,Refreshed,Forgetful,Self-aware,Refreshed,Drained,Mostly engaged,Low mood,Good focus,Enthusiastic,Normal
Foggy mind,Focused,Invested,Good focus,Ready to go,Refreshed,In good physical condition,Forgetful,Forgetful,Not motivated,Patient,Always distracted,Not motivated,Ready to go,Patient,Positive outlook,Emotionally stable,In good physical condition,Low mood,Focused,Normal
Self-aware,Invested,Good stamina,Forgetful,Sharp memory,Low mood,Always distracted,Few mistakes,Self-aware,Few mistakes,Sharp memory,Focused,Focused,Positive outlook,Patient,Ready to go,Foggy mind,Positive outlook,Emotionally stable,Self-aware,Normal
Emotionally stable,Invested,Challenging but good,Clear-minded,Few mistakes,In good physical condition,Few mistakes,I recharge through entertainment,Good focus,Self-aware,Clear-minded,Good stamina,Enthusiastic,Focused,Invested,Good stamina,Focused,Good focus,Quick to anger,Good stamina,Normal
Clear-minded,Refreshed,In good physical condition,Clear-minded,Focused,Mostly engaged,Ready to go,Mostly engaged,Refreshed,Refreshed,Invested,Good stamina,Clear-minded,Positive outlook,In good physical condition,Enthusiastic,Focused,Emotionally stable,Mostly engaged,Invested,Normal
